STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Maharashtra,Chandrapur,PMGSY-II,15,1,15,1,0,0,99.04,63.6278,98.053,53.3742,0
Maharashtra,Gadchiroli,RCPLWEA,26,68,19,54,7,14,487.716,688.75014,415.571,407.8809,72.145
Maharashtra,Hingoli,PMGSY-III,16,3,14,0,2,3,111.18,86.05522,95.45,86.8863,14.03
Maharashtra,Jalgaon,PMGSY-II,18,3,18,3,0,0,115.52,56.6378,114.911,55.8172,0
Maharashtra,Jalna,PMGSY-I,175,65,175,65,0,0,818.15,230.2545,810.626,232.4458,0
Maharashtra,Jalna,PMGSY-III,26,20,19,0,7,20,149.075,164.24508,115.089,108.9528,32.1
Maharashtra,Latur,PMGSY-II,8,16,8,16,0,0,67.27,74.4051,66.85,65.4157,0
Maharashtra,Nagpur,PMGSY-I,150,11,150,11,0,0,642.52,143.4769,621.51,143.1658,0
Maharashtra,Osmanabad,PMGSY-III,24,8,10,0,14,8,179.01,176.41947,110.22,97.4077,67.915
Maharashtra,Pune,PMGSY-I,259,16,258,16,1,0,1444.48,397.1502,1423.542,421.8152,3.12
Maharashtra,Sangali,PMGSY-II,15,0,15,0,0,0,75.158,36.0634,74.769,36.1581,0
Maharashtra,Solapur,PMGSY-I,288,16,288,16,0,0,1243.14,288.6699,1236.577,315.087,0
Maharashtra,Thane,PMGSY-III,17,0,3,0,14,0,87.81,57.7251,50.797,32.2072,36.913
Maharashtra,Wardha,PMGSY-I,137,9,137,9,0,0,976.956,240.7053,959.839,-31.8426,0
Manipur,Chandel,PMGSY-II,3,0,1,0,2,0,13.68,12.0844,10,6.897,3.68
Manipur,Chandel,PMGSY-III,5,0,0,0,5,0,52.4,41.5295,0,0,52.4
Manipur,Churachandpur,PMGSY-I,217,38,178,20,39,18,2304.885,1113.40415,1911.436,827.7434,393.62
Manipur,Churachandpur,PMGSY-II,3,0,3,0,0,0,10,8.0534,10,6.7823,0
Manipur,Churachandpur,PMGSY-III,3,0,0,0,3,0,22.14,18.76678,0,0,22.14
Manipur,"Imphal West",PMGSY-III,7,0,0,0,7,0,43.2,29.6641,0,0,43.2
Manipur,Senapati,PMGSY-I,276,33,264,30,12,3,2028.13,881.77681,1970.52,821.1228,33.21
Manipur,Senapati,PMGSY-II,4,2,3,2,1,0,22.38,22.0518,16.38,16.5409,6
Manipur,Tamenglong,PMGSY-II,2,1,0,1,2,0,20.4,19.0556,10,9.2618,10.4
Manipur,Thoubal,PMGSY-III,9,0,0,0,9,0,89.195,65.83598,0,0,89.195
Meghalaya,"East Khasi Hills",PMGSY-I,191,3,189,3,2,0,742.539,365.36525,733.579,348.7814,2.533
Meghalaya,Jaintia,PMGSY-III,20,14,0,0,20,14,196.194,276.73053,0,4.9272,196.194
Meghalaya,Ribhoi,PMGSY-II,6,0,6,0,0,0,36.298,21.58507,36.298,19.7615,0
Meghalaya,"West Khasi Hills",PMGSY-III,22,6,0,0,22,6,195.116,238.92382,10.63,19.3471,184.486
Mizoram,Aizawl,PMGSY-II,1,0,0,0,1,0,46,76.221,39,73.9729,7
Mizoram,Aizawl,PMGSY-III,3,0,0,0,3,0,63.954,63.21528,0,0,63.954
Mizoram,Champhai,PMGSY-I,59,0,58,0,1,0,748.765,391.1319,748.851,387.3266,0
Mizoram,Lawngtlai,PMGSY-I,56,0,47,0,9,0,549.6,437.4462,540.73,406.2075,4.55
Mizoram,Lunglei,PMGSY-I,59,0,53,0,6,0,738.914,537.8182,730.408,486.4473,3.162
Mizoram,Serchhip,PMGSY-III,2,0,0,0,2,0,50.88,62.54132,0,0,50.88
Nagaland,Kohima,PMGSY-II,1,0,1,0,0,0,19.5,16.3006,19.5,16.3005,0
Nagaland,Longleng,PMGSY-II,1,0,1,0,0,0,11.4,11.0391,11.4,11.0379,0
Nagaland,Mokokchung,PMGSY-III,3,0,0,0,3,0,36.07,30.593,0,0,36.07
Nagaland,Peren,PMGSY-II,1,1,1,1,0,0,17,19.1551,17,18.5634,0
Nagaland,Wokha,PMGSY-I,31,8,29,8,2,0,340.96,126.839,333.96,123.2779,7
Odisha,Angul,PMGSY-I,310,16,310,16,0,0,1411.008,600.14673,1340.386,564.0837,0
Odisha,Balangir,PMGSY-I,923,28,923,28,0,0,2874.222,1080.0627,2748.716,980.823,0
Odisha,Balangir,PMGSY-III,56,22,38,12,18,10,391.311,267.13396,302.699,219.6787,79.476
Odisha,Balasore,PMGSY-III,51,3,29,1,22,2,372.201,265.25514,255.877,184.2282,117.822
Odisha,Cuttack,PMGSY-I,476,11,476,11,0,0,1943.923,893.19247,1899.696,901.7172,0
Odisha,Cuttack,PMGSY-II,38,0,38,0,0,0,176.735,82.10892,177.179,97.7685,0
Odisha,Deogarh,PMGSY-I,151,6,151,6,0,0,727.214,307.7535,714.068,279.3592,0
Odisha,Gajapati,PMGSY-II,12,0,12,0,0,0,83.01,42.8421,83.609,38.3411,0
Odisha,Ganjam,PMGSY-I,738,15,736,15,2,0,2713.993,1167.33081,2609.111,1184.5334,5.316
Odisha,Ganjam,PMGSY-II,43,2,43,2,0,0,288.931,123.91889,287.349,113.585,0
Odisha,Jajpur,PMGSY-III,45,0,25,0,20,0,295.967,197.96155,250.311,166.7589,42.285
Odisha,Kalahandi,PMGSY-III,44,13,25,0,19,13,367.59,255.952,285.741,188.7683,79.107
Odisha,Kandhamal,PM-JANMAN,4,0,0,0,4,0,9.2,8.202,0,0,9.2
Odisha,Kendrapara,PMGSY-II,26,0,26,0,0,0,107.3,52.7669,106.189,52.4654,0
Odisha,Keonjhar,PMGSY-III,53,4,49,4,4,0,372.085,234.1436,355.829,217.8667,6.223
Odisha,Koraput,PMGSY-I,904,40,901,40,3,0,3787.363,1917.56035,3635.624,1964.5065,2.707
Odisha,Nayagarh,PMGSY-III,41,4,21,1,20,3,253.776,163.30212,164.067,105.9223,87.188
Odisha,Nuapara,PMGSY-III,21,1,17,0,4,1,168.43,100.93398,147.224,85.2941,19.562
Odisha,Puri,PMGSY-III,40,1,27,0,13,1,293.841,174.94112,254.071,142.3322,35.985
Odisha,Rayagada,PMGSY-I,602,21,602,21,0,0,3094.46,1241.08408,2942.946,1280.1645,0
Odisha,Sambalpur,PMGSY-I,544,23,544,23,0,0,1940.8,781.03568,1878.653,737.9143,0
Punjab,Barnala,PMGSY-III,9,1,8,0,1,1,115.59,101.43958,99.104,68.9018,16.17
Punjab,Bathinda,PMGSY-I,27,0,27,0,0,0,194.34,65.6494,194.34,56.5387,0
Punjab,Bathinda,PMGSY-II,6,2,6,2,0,0,78.7,49.7356,77.75,37.1869,0
Punjab,Faridkot,PMGSY-III,13,0,6,0,7,0,122.635,103.76198,68.68,60.7985,53.96
Punjab,Fazilka,PMGSY-III,13,1,8,1,5,0,138.86,117.763,101.03,74.2268,35.9
Punjab,Gurdaspur,PMGSY-I,122,0,122,0,0,0,416.23,126.356,406.8,107.6597,0
Punjab,Hoshiarpur,PMGSY-I,50,0,50,0,0,0,517.305,192.6273,516.616,170.6915,0
Punjab,Ludhiana,PMGSY-III,29,3,26,0,3,3,346.892,293.76819,329.605,253.8608,17.19
Punjab,Mohali,PMGSY-I,8,0,8,0,0,0,63.47,28.1931,62.97,25.1317,0
Punjab,Mohali,PMGSY-III,4,0,3,0,1,0,31.94,25.61566,24.104,16.288,7.8
Punjab,Pathankot,PMGSY-III,6,1,2,0,4,1,51.55,58.01704,21.15,20.4731,30.4
Punjab,Sangrur,PMGSY-II,8,1,8,1,0,0,105.43,66.852,102.925,47.5532,0
Rajasthan,Alwar,PMGSY-III,26,0,26,0,0,0,210.542,120.14714,207.155,91.6601,0
Rajasthan,Anoopgarh,PMGSY-III,9,0,6,0,3,0,100.9,40.2191,95.9,24.6429,5
Rajasthan,Balotra,PMGSY-III,13,0,13,0,0,0,152.55,59.1128,148.05,41.0884,0
Rajasthan,Baran,PMGSY-I,311,12,311,12,0,0,1243.166,301.2303,1171.87,302.0229,0
Rajasthan,Barmer,PMGSY-I,872,0,872,0,0,0,4157.575,716.1981,4007.94,635.9656,0
Rajasthan,Bhilwara,PMGSY-II,11,0,11,0,0,0,91.55,25.5779,91.55,20.1933,0
Rajasthan,Bikaner,PMGSY-II,9,0,9,0,0,0,84,23.6534,84,18.4886,0
Rajasthan,Bikaner,PMGSY-III,26,0,25,0,1,0,278.86,122.69569,263.21,87.6401,15
Rajasthan,Bundi,PMGSY-III,23,5,22,1,1,4,177.383,130.0819,171.27,82.6335,0.3
Rajasthan,Chittaurgarh,PMGSY-I,299,0,299,0,0,0,1303.87,249.648,1273.47,224.7355,0
Rajasthan,"Didwana Kuchaman",PMGSY-II,10,0,10,0,0,0,106,46.3672,106,31.6625,0
Rajasthan,Dudu,PMGSY-II,2,0,2,0,0,0,13.3,4.8628,13.3,3.4694,0
Rajasthan,Dungarpur,PMGSY-II,9,0,9,0,0,0,73,47.6744,73,29.4152,0
Rajasthan,Dungarpur,PMGSY-III,25,2,24,0,1,2,267.22,177.40371,259.92,122.2734,7.3
Rajasthan,Gangapurcity,PMGSY-III,17,0,17,0,0,0,109.84,57.41854,107.151,43.9455,0
Rajasthan,Hanumangarh,PMGSY-II,9,0,9,0,0,0,102.6,35.54673,102.6,29.7621,0
Rajasthan,Jaisalmer,PMGSY-III,20,0,19,0,1,0,196.9,96.43175,193.33,73.4451,3
Rajasthan,Jalor,PMGSY-I,232,0,232,0,0,0,1050.57,211.4865,1033.28,197.8775,0
Rajasthan,Jhalawar,PMGSY-II,11,0,11,0,0,0,82.2,33.0644,82.2,27.3474,0
Rajasthan,"Khairthal Tijara",PMGSY-II,8,0,8,0,0,0,59.826,19.0538,59.826,16.5637,0
Rajasthan,"Kotputli Behror",PMGSY-I,235,0,235,0,0,0,664.85,153.6479,646.386,135.4385,0
Rajasthan,"Kotputli Behror",PMGSY-III,17,0,15,0,2,0,130.193,80.36925,119.1,57.2372,10.243
Rajasthan,Phalodi,PMGSY-I,351,0,351,0,0,0,1951.21,321.9473,1898.56,288.2432,0
Rajasthan,Pratapgarh,PMGSY-I,452,0,452,0,0,0,1436.095,326.7776,1393.137,281.9479,0
Rajasthan,Rajsamand,PMGSY-I,369,0,369,0,0,0,1338.56,306.3419,1347.99,270.2181,0
Rajasthan,Rajsamand,PMGSY-II,11,0,11,0,0,0,98,47.70859,98,33.7092,0
Rajasthan,Shahpura,PMGSY-III,11,0,11,0,0,0,96.824,56.996,96.599,47.7457,0
Rajasthan,Sikar,PMGSY-I,367,0,367,0,0,0,1382.74,267.6835,1338.965,229.4847,0
Rajasthan,Tonk,PMGSY-III,32,0,28,0,4,0,239.343,139.19612,233.125,106.3032,7.97
Sikkim,East,PMGSY-III,3,3,0,0,3,3,21.05,38.2148,0,1.791,21.05
Sikkim,Pakyong,PMGSY-II,7,0,5,0,2,0,21.23,18.991,19.655,16.0266,0.925
Sikkim,Pakyong,PMGSY-III,5,3,0,0,5,3,24.41,28.89882,0,0,24.41
Sikkim,Soreng,PMGSY-I,171,10,165,8,6,2,753.756,359.6555,735.564,353.9376,8.875
Sikkim,Soreng,PMGSY-II,3,0,1,0,2,0,18,15.584,12.2,9.0794,5.6
Sikkim,South,PMGSY-I,258,14,247,11,11,3,1421.72,594.2179,1401.171,578.4793,9.294
Sikkim,South,PMGSY-III,11,1,0,0,11,1,82.3,77.76617,13.54,3.8941,68.76
Sikkim,"West Sikkim",PMGSY-I,114,17,102,10,12,7,739.951,379.2239,685.291,343.1554,44.475
"Tamil Nadu",Ariyalur,PMGSY-I,171,0,171,0,0,0,368.847,102.83873,368.806,94.2441,0
"Tamil Nadu",Chengalpattu,PMGSY-II,24,3,24,3,0,0,87.248,39.3014,86.448,37.372,0
"Tamil Nadu",Dindigul,PMGSY-II,34,0,34,0,0,0,120.746,56.06482,120.748,55.4039,0
"Tamil Nadu",Erode,PMGSY-I,230,1,230,1,0,0,513.66,134.35828,506.001,126.0865,0
"Tamil Nadu",Kanniyakumari,PMGSY-III,16,0,7,0,9,0,60.46,37.26415,19.695,11.5564,40.775
"Tamil Nadu",Mayiladuthurai,PMGSY-III,59,10,43,0,16,10,236.544,234.7002,191.088,193.6762,45.43
"Tamil Nadu",Nagapattinam,PMGSY-I,193,8,193,8,0,0,438.1,262.27358,435.949,244.6971,0
"Tamil Nadu",Nagapattinam,PMGSY-III,38,5,33,3,5,2,156.203,153.38103,130.158,158.877,26.048
"Tamil Nadu",Ramanathapuram,PMGSY-I,361,2,361,2,0,0,822.018,260.6557,819.181,240.7931,0
"Tamil Nadu",Ramanathapuram,PMGSY-III,64,4,44,0,20,4,282.344,196.38698,188.183,117.8037,89.245
"Tamil Nadu",Salem,PMGSY-III,96,0,52,0,44,0,390.859,239.81149,189.37,118.8902,201.265
"Tamil Nadu",Sivagangai,PMGSY-I,209,0,209,0,0,0,433.688,107.15013,431.905,273.4849,0
"Tamil Nadu",Tenkasi,PMGSY-III,16,0,8,0,8,0,64.615,30.9733,34.69,15.7792,29.925
"Tamil Nadu",Thanjavur,PMGSY-I,302,2,302,2,0,0,564.204,132.16558,563.374,139.4407,0
"Tamil Nadu",Tiruchirappalli,PMGSY-II,20,0,20,0,0,0,85.865,29.46129,85.865,23.7441,0
"Tamil Nadu",Tirupathur,PMGSY-II,4,0,4,0,0,0,7.024,3.312,7.024,3.8691,0
"Tamil Nadu",Tirupathur,PMGSY-III,29,0,15,0,14,0,104.84,62.34779,52.98,26.4445,51.86
"Tamil Nadu",Tiruppur,PMGSY-II,18,0,18,0,0,0,51.063,20.64843,51.063,21.4199,0
"Tamil Nadu",Tiruvallur,PMGSY-II,12,0,12,0,0,0,40.435,13.93617,40.435,13.8781,0
"Tamil Nadu",Tiruvarur,PMGSY-II,74,12,74,12,0,0,224.342,197.66552,224.343,212.5394,0
"Tamil Nadu",Villupuram,PMGSY-II,46,0,46,0,0,0,143.063,56.50137,142.868,59.5999,0
"Tamil Nadu",Virudhunagar,PMGSY-I,204,1,204,1,0,0,435.383,115.97783,432.471,107.1353,0
"Tamil Nadu",Virudhunagar,PMGSY-III,19,2,14,0,5,2,59.845,55.4926,41.115,22.8754,18.73
Telangana,Adilabad,PMGSY-II,2,2,2,2,0,0,18.99,19.2077,16.041,17.5167,0
Telangana,"Bhadradri Kothagudem",RCPLWEA,30,38,5,15,25,23,239.41,331.14342,103.89,118.3253,134.77
Telangana,"Bhadradri Kothagudem",PMGSY-III,13,9,10,5,3,4,94.782,87.07731,76.014,55.2459,15.42
Telangana,Jagitial,PMGSY-III,12,5,2,0,10,5,65.539,56.98604,22.66,24.317,42.664
Telangana,Jangoan,PMGSY-I,88,8,88,8,0,0,280.49,93.59945,277.926,15.4745,0
Telangana,"Jogulamba Gadwal",PMGSY-I,25,1,25,1,0,0,151.925,31.8538,146.475,60.6567,0
Telangana,Kamareddy,PMGSY-II,4,1,4,1,0,0,36.94,24.3256,36.94,24.8706,0
Telangana,Khammam,PMGSY-II,6,1,6,1,0,0,69.14,49.8709,66.773,35.9228,0
Telangana,"Komrambheem Asifabad",RCPLWEA,31,33,6,10,25,23,262.66,407.15149,113.954,127.0604,148.312
Telangana,Mahaboobnagar,PMGSY-III,11,9,4,6,7,3,69.748,70.60881,40.246,46.0658,28.421
Telangana,Mancherial,PMGSY-II,1,0,1,0,0,0,5.35,2.645,5.35,1.9849,0
Telangana,"Medchal Malkajgiri",PMGSY-II,2,1,2,1,0,0,15.59,14.3107,12.282,10.2042,0
Telangana,Nalgonda,PMGSY-II,14,0,14,0,0,0,88.6,38.6273,86.467,30.2596,0
Telangana,Nalgonda,PMGSY-III,20,6,5,1,15,5,134.721,93.76009,48.223,40.5008,85.798
Telangana,Nizamabad,PMGSY-II,6,4,6,4,0,0,60.15,49.2662,61.01,46.307,0
Telangana,Peddapalli,PMGSY-III,9,2,5,0,4,2,48.181,31.19386,41.383,30.0063,5.532
Telangana,"Ranga Reddy",PMGSY-III,19,4,15,1,4,3,118.317,88.03751,106.37,80.5734,8.9
Telangana,Sangareddy,PMGSY-I,147,9,147,9,0,0,414.57,94.1774,405.846,182.4015,0
Telangana,Sangareddy,PMGSY-II,5,0,5,0,0,0,35.75,22.3813,34.782,18.0143,0
Telangana,Vikarabad,PMGSY-I,84,11,84,11,0,0,263.114,49.4155,250.595,-157.4155,0
Telangana,Vikarabad,PMGSY-II,3,0,3,0,0,0,27.65,16.1464,27.65,14.4262,0
Telangana,Wanaparthy,PMGSY-I,25,2,25,2,0,0,106.049,20.8285,101.24,9.949,0
Telangana,Wanaparthy,PMGSY-II,1,0,1,0,0,0,6.82,4.0783,6.2,2.8984,0
Telangana,"Yadadri Bhongiri",PMGSY-I,61,1,61,1,0,0,260.179,40.5621,267.105,-267.0415,0
Tripura,Dhalai,PMGSY-II,4,1,3,0,1,1,47.662,70.73037,15.159,31.8283,32.164
Tripura,Dhalai,PM-JANMAN,8,0,0,0,8,0,40.272,37.8776,0,0,40.272
Tripura,Gomati,PMGSY-I,186,11,186,10,0,1,796.534,498.7943,765.916,482.1345,0
Tripura,Khowai,PMGSY-III,13,2,0,0,13,2,92.749,92.56916,1.5,19.6281,91.249
Tripura,Sepahijala,PMGSY-I,207,4,207,4,0,0,648.341,388.9445,614.046,404.3257,0
Tripura,Unakoti,PMGSY-II,3,0,3,0,0,0,17.488,16.9733,17.488,18.5313,0
"Uttar Pradesh",Agra,PMGSY-II,16,0,16,0,0,0,122.005,101.2449,120.971,79.9269,0
"Uttar Pradesh",Aligarh,PMGSY-I,205,0,205,0,0,0,690.625,184.3754,682.44,175.3916,0
"Uttar Pradesh",Aligarh,PMGSY-II,11,0,11,0,0,0,105.85,54.49746,105.85,48.1263,0
"Uttar Pradesh",Ambedkarnagar,PMGSY-II,17,0,17,0,0,0,108.825,65.43626,103.845,50.0185,0
"Uttar Pradesh",Auraiya,PMGSY-II,7,0,7,0,0,0,58.75,36.4278,58.365,28.0419,0
"Uttar Pradesh",Azamgarh,PMGSY-I,370,0,370,0,0,0,1023.18,281.2348,1011.782,262.8165,0
"Uttar Pradesh",Azamgarh,PMGSY-II,15,0,15,0,0,0,113.7,60.2784,111.54,54.9629,0
"Uttar Pradesh",Baghpat,PMGSY-I,222,0,222,0,0,0,532.58,119.8807,529.97,117.4999,0
"Uttar Pradesh",Ballia,PMGSY-II,15,0,15,0,0,0,99.65,62.4179,97.229,56.6339,0
"Uttar Pradesh",Banda,PMGSY-II,12,0,12,0,0,0,97.62,56.1237,96.65,52.8161,0
"Uttar Pradesh",Banda,PMGSY-III,21,0,14,0,7,0,163.367,136.6557,128.221,110.1511,34.907
"Uttar Pradesh",Bareilly,PMGSY-II,9,0,9,0,0,0,85.25,41.12541,83.25,40.9297,0
"Uttar Pradesh",Bareilly,PMGSY-III,51,0,51,0,0,0,427.39,266.64227,424.915,218.7207,0
"Uttar Pradesh",Chandauli,PMGSY-II,13,0,13,0,0,0,93.025,40.6267,91.75,35.6952,0
"Uttar Pradesh",Deoria,PMGSY-II,14,0,14,0,0,0,95.115,60.33697,94.88,54.375,0
"Uttar Pradesh",Etah,PMGSY-II,14,0,14,0,0,0,105.27,59.27319,105.27,48.2012,0
"Uttar Pradesh",Farrukhabad,PMGSY-III,23,0,21,0,2,0,186.745,149.74739,186.395,112.877,0.35
"Uttar Pradesh",Fatehpur,PMGSY-II,11,0,11,0,0,0,101.975,86.3941,101.465,78.3542,0
"Uttar Pradesh",Firozabad,PMGSY-III,28,0,28,0,0,0,200.245,140.0833,200.322,98.7861,0
"Uttar Pradesh","G.B. Nagar",PMGSY-III,4,0,4,0,0,0,33.65,19.19977,31.948,12.771,0
"Uttar Pradesh",Ghaziabad,PMGSY-I,154,0,154,0,0,0,385.4,79.6784,372.599,75.601,0
"Uttar Pradesh",Ghazipur,PMGSY-III,62,0,48,0,14,0,417.405,303.30394,406.31,203.3775,5.1
"Uttar Pradesh",Gonda,PMGSY-II,16,0,16,0,0,0,101.14,63.7346,100.89,61.843,0
"Uttar Pradesh",Gorakhpur,PMGSY-I,318,0,318,0,0,0,921.37,332.4885,908.531,304.686,0
"Uttar Pradesh",Hamirpur,PMGSY-III,19,0,18,0,1,0,157,110.9985,145.611,88.4668,9.85
"Uttar Pradesh",Hardoi,PMGSY-II,13,0,13,0,0,0,107.55,70.74885,106.535,61.5132,0
"Uttar Pradesh",J.B.F.Nagar,PMGSY-III,8,0,8,0,0,0,70.35,48.99476,68.695,37.7512,0
"Uttar Pradesh",Jalaun,PMGSY-I,178,0,178,0,0,0,548.53,139.047,533.757,134.3715,0
"Uttar Pradesh",Jalaun,PMGSY-III,21,0,20,0,1,0,144.845,92.99378,139.745,62.1819,2.1
"Uttar Pradesh",Jhansi,PMGSY-II,14,0,14,0,0,0,110.42,70.2237,110.24,64.1953,0
"Uttar Pradesh",Jhansi,PMGSY-III,30,0,26,0,4,0,231.45,188.97608,207.506,114.5443,17.8
"Uttar Pradesh",Kannauj,PMGSY-II,14,0,14,0,0,0,107.955,80.04009,107.85,74.0124,0
"Uttar Pradesh",Kasganj,PMGSY-I,114,0,114,0,0,0,368.925,116.5174,364.388,111.4347,0
"Uttar Pradesh",Kushinagar,PMGSY-I,289,0,289,0,0,0,1041.804,357.591,1036.11,330.9882,0
"Uttar Pradesh",Lakhimpur-Kherii,PMGSY-I,342,0,342,0,0,0,941.685,281.3176,914.702,257.8866,0
"Uttar Pradesh",Lalitpur,PMGSY-I,139,0,139,0,0,0,603.97,176.035,603.114,181.2625,0
"Uttar Pradesh",Lalitpur,PMGSY-II,14,0,14,0,0,0,110.291,66.9178,109.891,61.9163,0
"Uttar Pradesh",Mathura,PMGSY-III,34,3,23,3,11,0,305.531,236.21237,273.67,165.4525,28.036
"Uttar Pradesh",Mau,PMGSY-II,11,0,11,0,0,0,109,55.55237,107.36,54.635,0
"Uttar Pradesh",Meerut,PMGSY-I,289,0,289,0,0,0,660.754,147.5156,649.583,141.2229,0
"Uttar Pradesh",Moradabad,PMGSY-I,223,0,223,0,0,0,598.5,161.7229,582.117,157.3699,0
"Uttar Pradesh",Prayagraj,PMGSY-III,66,0,50,0,16,0,478.542,436.48762,375.676,299.9717,99.41
"Uttar Pradesh",Rampur,PMGSY-II,13,0,13,0,0,0,100.8,52.66694,100.7,46.2817,0
"Uttar Pradesh",Rampur,PMGSY-III,26,0,26,0,0,0,167.12,94.59272,160.89,76.783,0
"Uttar Pradesh",Shahjahanpur,PMGSY-I,296,0,296,0,0,0,987.46,353.0337,961.85,347.2636,0
"Uttar Pradesh",Shrawasti,PMGSY-III,20,0,20,0,0,0,111.432,78.57414,109.781,65.9162,0
"Uttar Pradesh",Sonebhadra,PMGSY-II,12,0,12,0,0,0,101.6,43.24026,99.45,41.1159,0
"Uttar Pradesh",Sultanpur,PMGSY-II,7,0,7,0,0,0,93.55,70.7646,92.3,59.7019,0
"Uttar Pradesh",Unnao,PMGSY-III,73,0,69,0,4,0,557.875,485.47716,531.944,406.1164,14.85
"Uttar Pradesh",Varanasi,PMGSY-III,16,0,16,0,0,0,94.4,34.6486,92.484,28.0865,0
Uttarakhand,Bageshwar,PMGSY-I,181,51,180,46,1,5,1495.507,764.22853,1448.326,735.4483,1.425
Uttarakhand,Bageshwar,PMGSY-II,9,0,9,0,0,0,52.125,31.849,52.125,30.9384,0
Uttarakhand,Champawat,PMGSY-II,4,0,4,0,0,0,42,26.0547,42,25.7562,0
Uttarakhand,Tehri,PMGSY-I,258,16,255,12,3,4,2097.752,1030.97501,2073.78,995.592,1.585
Uttarakhand,"Udham Singh Nagar",PMGSY-III,5,0,0,0,5,0,24.589,18.835,0,0,24.589
"West Bengal",Birbhum,PMGSY-III,34,0,6,0,28,0,271.28,182.4646,77.26,47.1973,193.781
"West Bengal",Hooghly,PMGSY-III,10,1,2,0,8,1,65.788,50.86468,14.228,9.4838,51.518
"West Bengal",Kalimpong,PMGSY-II,6,2,6,1,0,1,65.472,89.1983,65.257,85.1484,0
"West Bengal",Maldah,PMGSY-II,20,0,20,0,0,0,174.297,141.17538,172.705,117.3991,0
"West Bengal",Murshidabad,PMGSY-I,410,4,410,4,0,0,2053.367,922.56231,2032.725,841.8226,0
"West Bengal",Nadia,PMGSY-II,14,0,14,0,0,0,132.955,121.22049,132.693,97.3562,0
"West Bengal","Paschim Burdwan",PMGSY-II,4,0,4,0,0,0,36.12,22.78042,35.679,17.8088,0
"West Bengal","Paschim Medinipur",PMGSY-I,732,0,732,0,0,0,3686.237,2004.87157,3666.523,1915.3207,0
"West Bengal","Paschim Medinipur",PMGSY-II,19,4,19,4,0,0,169.63,165.81221,169.39,133.7978,0
"Andaman And Nicobar",Nicobar,PMGSY-III,10,0,0,0,10,0,102.585,116.3138,0,0,102.585
"Andhra Pradesh","Alluri Sitharama Raju",PMGSY-III,3,1,2,0,1,1,29.1,15.62,18.73,5.5321,11.2
"Andhra Pradesh",Anakapalli,PMGSY-I,195,8,195,8,0,0,483.715,158.0745,465.672,140.341,0
"Andhra Pradesh",Anakapalli,PMGSY-III,13,4,13,1,0,3,92.275,60.77811,86.604,50.5293,0
"Andhra Pradesh",Anantapur,PMGSY-III,16,5,14,0,2,5,145.623,109.8399,122.207,68.1403,18.7
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-II,6,0,6,0,0,0,47.223,24.736,45.354,20.979,0
"Andhra Pradesh","East Godavari",PMGSY-II,6,0,6,0,0,0,42.9,18.4807,41.22,15.4279,0
"Andhra Pradesh",Eluru,PMGSY-III,12,2,7,0,5,2,75.097,48.8486,46.007,25.7726,26.81
"Andhra Pradesh",Guntur,PMGSY-III,11,3,6,0,5,3,68.444,61.4522,35.735,18.9649,32.236
"Andhra Pradesh",Kakinada,PMGSY-II,7,0,7,0,0,0,39.106,17.77,37.507,14.3061,0
"Andhra Pradesh",Kakinada,PMGSY-III,12,1,4,0,8,1,87.62,47.5397,24.85,12.8475,61.04
"Andhra Pradesh",Krishna,PMGSY-II,8,0,8,0,0,0,58.52,46.9895,57.715,41.1926,0
"Andhra Pradesh",Kurnool,PMGSY-II,9,1,9,1,0,0,65.66,28.5085,65.021,26.8076,0
"Andhra Pradesh",Ntr,PMGSY-II,4,0,4,0,0,0,36.15,18.471,35.164,15.2381,0
"Andhra Pradesh","Parvathipuram Manyam",PMGSY-I,141,4,135,3,6,1,435.81,144.1695,396.601,133.9624,24.393
"Andhra Pradesh","Parvathipuram Manyam",PMGSY-III,9,0,9,0,0,0,63.085,42.31,60.676,39.457,0
"Andhra Pradesh",Prakasam,PMGSY-I,147,27,147,27,0,0,637.849,205.5158,620.485,199.8045,0
"Andhra Pradesh","Sri Sathya Sai",PMGSY-I,412,13,412,13,0,0,1306.855,311.3505,1272.137,304.013,0
"Andhra Pradesh",Tirupati,PMGSY-III,20,7,17,0,3,7,139.514,124.52347,114.916,33.9286,20.48
"Andhra Pradesh",Visakhapatnam,PMGSY-I,49,1,49,1,0,0,84.052,23.2047,79.283,20.176,0
"Andhra Pradesh",Vizianagaram,PM-JANMAN,3,0,0,0,3,0,15.6,16.3,0,0,15.6
"Andhra Pradesh","Y S R Kadapa",PMGSY-I,151,8,151,8,0,0,467.465,129.9053,447.208,125.7078,0
"Arunachal Pradesh",Anjaw,PMGSY-I,26,9,22,6,4,3,354.135,292.5651,296.395,246.1757,57.74
